ID,姓,名,氏名(結合),メールアドレス,役割,役割（日本語）,パスワード,登録日時,更新日時
1,システム,管理者,システム 管理者,001g5g6djg@school.com,admin,管理者,admin123,2025-12-08 04:14:35,2025-12-08 04:14:35
2,田中,花子,田中 花子,ea6jpdkk70@school.com,school_nurse,養護教諭,nurse123,2025-12-08 04:14:35,2025-12-08 04:14:35
3,佐藤,太郎,佐藤 太郎,aeoqo8hljg@school.com,teacher,教師,teacher123,2025-12-08 04:14:35,2025-12-08 04:14:35
4,鈴木,美咲,鈴木 美咲,n9rdaqggxp@school.com,teacher,教師,teacher123,2025-12-08 04:14:35,2025-12-08 04:14:35
5,高橋,健一,高橋 健一,xjzkx823wb@school.com,teacher,教師,teacher123,2025-12-08 04:14:35,2025-12-08 04:14:35
6,青木,一郎,青木 一郎,5w3t0aby6e@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
7,石井,花,石井 花,o5x1roke12@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
8,上田,健太,上田 健太,1o1cpy44qe@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
9,江藤,美咲,江藤 美咲,r4x2vaej2w@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
10,大野,翔,大野 翔,hjiquj3s4a@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
11,加藤,優子,加藤 優子,preymf1h0j@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
12,木村,大輔,木村 大輔,eoouhi76sj@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
13,小林,さくら,小林 さくら,dpk6dqeara@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
14,坂本,拓也,坂本 拓也,h9huq9u2gg@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
15,佐々木,愛,佐々木 愛,pxyxqfwfz9@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
16,清水,悠斗,清水 悠斗,6nmkfp2h4k@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
17,杉山,結衣,杉山 結衣,ixuge44ita@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
18,鈴木,颯太,鈴木 颯太,l5qt9pjg4t@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
19,高木,美羽,高木 美羽,52s4gb330a@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
20,田中,陸,田中 陸,s5r4z1ayi9@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
21,谷口,咲希,谷口 咲希,370es83fz5@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
22,中村,蓮,中村 蓮,x823yzskd9@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
23,西田,葵,西田 葵,hfzvnqrxpu@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
24,野村,大和,野村 大和,fztmfrrmxe@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
25,橋本,心春,橋本 心春,2ynhvuy297@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
26,林,海斗,林 海斗,xycnhau96n@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
27,原,ひまり,原 ひまり,fpg4upp5uy@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
28,藤田,悠真,藤田 悠真,xy3u0d2qz0@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
29,松本,結菜,松本 結菜,7y5e0gf5rd@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
30,村田,蒼空,村田 蒼空,lvxo4z73i7@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
31,森,陽菜,森 陽菜,nqwyih0or2@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
32,山口,晴,山口 晴,s7gadt139c@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
33,山田,凛,山田 凛,mdo0xntol7@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
34,吉田,翼,吉田 翼,l63h2g3cfo@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
35,渡辺,紬,渡辺 紬,zb8xggge49@school.com,student,生徒,student123,2025-12-08 04:14:35,2025-12-08 04:14:35
